x,pollutant_concentration,oxygen_concentration
56.8,0.000464334,11.9984
56.9,0.000456659,11.9984
57,0.000449111,11.9984
57.1,0.000441688,11.9984
57.2,0.000434387,11.9985
57.3,0.000427208,11.9985
57.4,0.000420146,11.9985
57.5,0.000413202,11.9985
57.6,0.000406372,11.9986
57.7,0.000399656,11.9986
57.8,0.00039305,11.9986
57.9,0.000386553,11.9986
58,0.000380164,11.9986
58.1,0.000373881,11.9987
58.2,0.000367701,11.9987
58.3,0.000361623,11.9987
58.4,0.000355646,11.9987
58.5,0.000349768,11.9987
58.6,0.000343987,11.9988
58.7,0.000338301,11.9988
58.8,0.00033271,11.9988
58.9,0.00032721,11.9988
59,0.000321802,11.9988
59.1,0.000316483,11.9989
59.2,0.000311252,11.9989
59.3,0.000306108,11.9989
59.4,0.000301048,11.9989
59.5,0.000296072,11.9989
59.6,0.000291179,11.999
59.7,0.000286366,11.999
59.8,0.000281633,11.999
59.9,0.000276978,11.999
60,0.0002724,11.999
60.1,0.000267897,11.999
60.2,0.000263469,11.9991
60.3,0.000259114,11.9991
60.4,0.000254832,11.9991
60.5,0.00025062,11.9991
60.6,0.000246477,11.9991
60.7,0.000242403,11.9991
60.8,0.000238397,11.9991
60.9,0.000234456,11.9992
61,0.000230581,11.9992
61.1,0.00022677,11.9992
61.2,0.000223022,11.9992
61.3,0.000219336,11.9992
61.4,0.00021571,11.9992
61.5,0.000212145,11.9992
61.6,0.000208639,11.9992
61.7,0.00020519,11.9993
61.8,0.000201799,11.9993
61.9,0.000198463,11.9993
62,0.000195183,11.9993
62.1,0.000191957,11.9993
62.2,0.000188784,11.9993
62.3,0.000185664,11.9993
62.4,0.000182595,11.9993
62.5,0.000179577,11.9993
62.6,0.000176609,11.9994
62.7,0.00017369,11.9994
62.8,0.000170819,11.9994
62.9,0.000167995,11.9994
63,0.000165219,11.9994
63.1,0.000162488,11.9994
63.2,0.000159802,11.9994
63.3,0.000157161,11.9994
63.4,0.000154563,11.9994
63.5,0.000152009,11.9994
63.6,0.000149496,11.9995
63.7,0.000147025,11.9995
63.8,0.000144595,11.9995
63.9,0.000142205,11.9995
64,0.000139855,11.9995
64.1,0.000137543,11.9995
64.2,0.00013527,11.9995
64.3,0.000133034,11.9995
64.4,0.000130835,11.9995
64.5,0.000128672,11.9995
64.6,0.000126546,11.9995
64.7,0.000124454,11.9995
64.8,0.000122397,11.9996
64.9,0.000120374,11.9996
65,0.000118384,11.9996
65.1,0.000116428,11.9996
65.2,0.000114503,11.9996
65.3,0.000112611,11.9996
65.4,0.000110749,11.9996
65.5,0.000108919,11.9996
65.6,0.000107119,11.9996
65.7,0.000105348,11.9996
65.8,0.000103607,11.9996
65.9,0.000101894,11.9996
66,0.00010021,11.9996
66.1,9.85539e-05,11.9996
66.2,9.69249e-05,11.9996
66.3,9.53229e-05,11.9997
66.4,9.37473e-05,11.9997
66.5,9.21978e-05,11.9997
66.6,9.06739e-05,11.9997
66.7,8.91752e-05,11.9997
66.8,8.77013e-05,11.9997
66.9,8.62517e-05,11.9997
67,8.48261e-05,11.9997
67.1,8.34241e-05,11.9997
67.2,8.20452e-05,11.9997
67.3,8.06891e-05,11.9997
67.4,7.93554e-05,11.9997
67.5,7.80438e-05,11.9997
67.6,7.67538e-05,11.9997
67.7,7.54852e-05,11.9997
67.8,7.42375e-05,11.9997
67.9,7.30105e-05,11.9997
68,7.18037e-05,11.9997
68.1,7.06169e-05,11.9997
68.2,6.94497e-05,11.9997
68.3,6.83018e-05,11.9997
68.4,6.71729e-05,11.9998
68.5,6.60626e-05,11.9998
68.6,6.49707e-05,11.9998
68.7,6.38968e-05,11.9998
68.8,6.28407e-05,11.9998
68.9,6.18021e-05,11.9998
69,6.07806e-05,11.9998
69.1,5.97759e-05,11.9998
69.2,5.87879e-05,11.9998
69.3,5.78163e-05,11.9998
69.4,5.68606e-05,11.9998
69.5,5.59208e-05,11.9998
69.6,5.49965e-05,11.9998
69.7,5.40875e-05,11.9998
69.8,5.31935e-05,11.9998
69.9,5.23143e-05,11.9998
70,5.14496e-05,11.9998
70.1,5.05992e-05,11.9998
70.2,4.97629e-05,11.9998
70.3,4.89404e-05,11.9998
70.4,4.81315e-05,11.9998
70.5,4.73359e-05,11.9998
70.6,4.65536e-05,11.9998
70.7,4.57841e-05,11.9998
70.8,4.50273e-05,11.9998
70.9,4.42831e-05,11.9998
71,4.35512e-05,11.9998
71.1,4.28313e-05,11.9998
71.2,4.21234e-05,11.9998
71.3,4.14272e-05,11.9998
71.4,4.07424e-05,11.9998
71.5,4.0069e-05,11.9999
71.6,3.94067e-05,11.9999
71.7,3.87554e-05,11.9999
71.8,3.81148e-05,11.9999
71.9,3.74848e-05,11.9999
72,3.68653e-05,11.9999
72.1,3.62559e-05,11.9999
72.2,3.56567e-05,11.9999
72.3,3.50673e-05,11.9999
72.4,3.44877e-05,11.9999
72.5,3.39177e-05,11.9999
72.6,3.33571e-05,11.9999
72.7,3.28057e-05,11.9999
72.8,3.22635e-05,11.9999
72.9,3.17302e-05,11.9999
73,3.12058e-05,11.9999
73.1,3.069e-05,11.9999
73.2,3.01827e-05,11.9999
73.3,2.96839e-05,11.9999
73.4,2.91932e-05,11.9999
73.5,2.87107e-05,11.9999
73.6,2.82362e-05,11.9999
73.7,2.77695e-05,11.9999
73.8,2.73105e-05,11.9999
73.9,2.68591e-05,11.9999
74,2.64151e-05,11.9999
74.1,2.59785e-05,11.9999
74.2,2.55491e-05,11.9999
74.3,2.51268e-05,11.9999
74.4,2.47115e-05,11.9999
74.5,2.43031e-05,11.9999
74.6,2.39014e-05,11.9999
74.7,2.35063e-05,11.9999
